# injm1  injm2  injecc  pol  inc  maxmatch  maxm1  maxm2
0.100000 0.100000 0.004000 3.595952 -1.237584 0.947105 0.100000 0.100000
0.100000 0.100000 0.003000 2.879214 0.771171 0.971272 0.100000 0.100000
0.100000 0.100000 0.001000 3.943201 0.021130 0.998877 0.100000 0.100000
0.100000 0.100000 0.027000 0.832852 -1.390058 0.532423 0.100003 0.100003
0.100000 0.100000 0.020000 0.549190 -1.240388 0.614201 0.100002 0.100002
0.100000 0.100000 0.004000 0.725573 -1.168220 0.947104 0.100000 0.100000
0.100000 0.100000 0.008000 1.168455 0.074875 0.844961 0.100002 0.100000
0.100000 0.100000 0.001000 4.855587 -1.445249 0.998877 0.100000 0.100000
0.100000 0.100000 0.002000 0.825664 1.151824 0.990428 0.100000 0.100000
0.100000 0.100000 0.011000 0.261339 -0.744102 0.777352 0.100001 0.100001
0.100000 0.100000 0.468000 3.803182 0.221582 0.046627 0.100014 0.100014
0.100000 0.100000 0.007000 0.533168 -0.728033 0.871101 0.100001 0.100000
0.100000 0.100000 0.006000 3.485863 -1.125852 0.889203 0.100001 0.100001
0.100000 0.100000 0.125000 0.790496 -0.592051 0.213453 0.100014 0.100014
0.100000 0.100000 0.014000 2.438057 0.471721 0.714400 0.100002 0.100001
0.100000 0.100000 0.001000 4.029383 1.407776 0.998877 0.100000 0.100000
0.100000 0.100000 0.030000 5.206484 0.882486 0.504079 0.100003 0.100003
0.100000 0.100000 0.004000 4.911458 -0.373395 0.947106 0.100000 0.100000
0.100000 0.100000 0.005000 0.688361 -0.252871 0.919462 0.100001 0.100001
0.100000 0.100000 0.019000 0.893742 -1.163455 0.628877 0.100002 0.100002
0.100000 0.100000 0.013000 3.944242 0.978303 0.733724 0.100001 0.100001
0.100000 0.100000 0.069000 5.541134 -0.164103 0.314359 0.100009 0.100009
0.100000 0.100000 0.025000 1.227723 0.506830 0.553196 0.100005 0.100000
0.100000 0.100000 0.002000 5.422278 -0.541313 0.990428 0.100000 0.100000
0.100000 0.100000 0.002000 1.341221 -1.089454 0.990427 0.100000 0.100000
0.100000 0.100000 0.004000 0.957677 -1.105313 0.947104 0.100000 0.100000
0.100000 0.100000 0.006000 4.369145 1.394397 0.889203 0.100001 0.100001
0.100000 0.100000 0.006000 4.398169 -1.292627 0.889203 0.100001 0.100001
0.100000 0.100000 0.042000 2.035925 0.783332 0.420227 0.100005 0.100005
0.100000 0.100000 0.001000 5.983091 0.644749 0.998877 0.100000 0.100000
0.100000 0.100000 0.002000 5.869898 -0.028392 0.990428 0.100000 0.100000
0.100000 0.100000 0.002000 6.025331 0.795592 0.990428 0.100000 0.100000
0.100000 0.100000 0.000000 0.006188 0.778818 0.996687 0.100000 0.100000
0.100000 0.100000 0.003000 1.863362 -1.229204 0.971272 0.100000 0.100000
0.100000 0.100000 0.016000 0.270385 1.311255 0.677387 0.100001 0.100001
0.100000 0.100000 0.002000 2.647648 0.070356 0.990427 0.100000 0.100000
0.100000 0.100000 0.002000 4.121673 1.263114 0.990428 0.100000 0.100000
0.100000 0.100000 0.001000 5.230572 0.181608 0.998877 0.100000 0.100000
0.100000 0.100000 0.008000 2.941097 0.746929 0.844957 0.100002 0.100000
0.100000 0.100000 0.067000 2.663681 -0.502797 0.320064 0.100015 0.100001
0.100000 0.100000 0.016000 2.995411 -1.277547 0.677383 0.100001 0.100001
0.100000 0.100000 0.006000 1.090270 1.228184 0.889200 0.100001 0.100001
0.100000 0.100000 0.012000 3.333726 -0.681594 0.755253 0.100001 0.100001
0.100000 0.100000 0.023000 0.504923 -1.564420 0.575625 0.100002 0.100002
0.100000 0.100000 0.003000 1.883828 -0.005939 0.971272 0.100000 0.100000
0.100000 0.100000 0.090000 1.638044 0.373557 0.267538 0.100013 0.100013
0.100000 0.100000 0.177000 0.193716 -0.418788 0.156339 0.100025 0.100003
0.100000 0.100000 0.192000 4.343292 0.417773 0.143017 0.100025 0.100003
0.100000 0.100000 0.008000 0.994457 0.236894 0.844961 0.100002 0.100000
0.100000 0.100000 0.010000 0.392354 -1.130004 0.797895 0.100001 0.100001
0.100000 0.100000 0.102000 5.432332 1.197913 0.247290 0.100013 0.100013
0.100000 0.100000 0.052000 5.265763 1.507033 0.372020 0.100006 0.100006
0.100000 0.100000 0.015000 5.514470 1.283604 0.694160 0.100002 0.100001
0.100000 0.100000 0.007000 4.643057 -0.760355 0.871104 0.100001 0.100000
0.100000 0.100000 0.008000 1.952251 0.847584 0.844959 0.100002 0.100000
0.100000 0.100000 0.023000 5.028520 -1.015295 0.575658 0.100002 0.100002
0.100000 0.100000 0.003000 0.240829 1.409720 0.971272 0.100000 0.100000
0.100000 0.100000 0.004000 2.044381 0.765430 0.947103 0.100000 0.100000
0.100000 0.100000 0.006000 3.101818 -1.106784 0.889203 0.100001 0.100001
0.100000 0.100000 0.031000 0.348289 0.091686 0.494942 0.100003 0.100003
0.100000 0.100000 0.055000 4.307535 0.024265 0.360092 0.100006 0.100006
