# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.696816 0.312613 0.152647 0.521887 0.460112 0.460112
0.793567 0.280213 0.090544 0.671347 0.594298 0.360382
0.615819 0.348364 0.108459 0.595084 0.459822 0.459822
0.632075 0.340371 0.145327 0.513950 0.459958 0.459958
0.827059 0.270866 0.169781 0.504970 0.620717 0.347068
0.895146 0.254104 0.153640 0.537177 0.668176 0.325232
0.881617 0.257222 0.146629 0.550570 0.644579 0.335605
0.546946 0.388262 0.128829 0.486549 0.459758 0.459758
0.762501 0.289659 0.076150 0.712734 0.621236 0.346123
0.750137 0.293650 0.132610 0.573049 0.460139 0.460139
0.863377 0.261585 0.032730 0.878412 0.825578 0.271361
0.933943 0.245674 0.192522 0.461438 0.788873 0.282497
0.518359 0.408443 0.069332 0.650398 0.459605 0.459605
0.581962 0.366633 0.198350 0.391259 0.459958 0.459958
0.958554 0.240687 0.047012 0.811606 0.914299 0.249983
0.604304 0.354318 0.117139 0.560359 0.459831 0.459831
0.606430 0.353200 0.081338 0.680097 0.459740 0.459740
0.518169 0.408586 0.057211 0.706834 0.459587 0.459587
0.682954 0.318070 0.191621 0.451718 0.460202 0.460202
0.819922 0.272791 0.154063 0.535549 0.562913 0.379303
0.706608 0.308899 0.197374 0.451260 0.460293 0.460293
0.489024 0.432050 0.041633 0.769832 0.459541 0.459541
0.581108 0.367126 0.027383 0.908940 0.527102 0.402121
0.715309 0.305690 0.181675 0.477008 0.460257 0.460257
0.501123 0.421920 0.013728 0.968324 0.459496 0.459496
0.638489 0.337343 0.015067 0.969860 0.620408 0.346098
0.937962 0.244842 0.108707 0.626300 0.730918 0.300838
0.519663 0.407466 0.171778 0.393858 0.459804 0.459804
0.663714 0.326060 0.074542 0.716903 0.459795 0.459795
0.817304 0.273505 0.111026 0.622742 0.526811 0.403290
0.712856 0.306586 0.191131 0.460930 0.460293 0.460293
0.765976 0.288562 0.147334 0.546538 0.460230 0.460230
0.835642 0.268597 0.163241 0.517708 0.620717 0.347068
0.783729 0.283118 0.020217 0.937850 0.769277 0.287576
0.492933 0.428713 0.185698 0.368673 0.459840 0.459840
0.770830 0.287047 0.121822 0.598538 0.460130 0.460130
0.863161 0.261637 0.119311 0.605542 0.564555 0.378124
0.946713 0.243054 0.049702 0.803785 0.897289 0.253770
