# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.250519 0.250519 0.061184 0.512674 0.261918 0.239772
0.142036 0.142036 0.060895 0.401491 0.142049 0.142049
0.135480 0.135480 0.022348 0.654207 0.135483 0.135483
0.280208 0.280208 0.049980 0.597928 0.280239 0.280239
0.607313 0.607313 0.044658 0.796809 0.607406 0.607406
0.170193 0.170193 0.104633 0.316162 0.182231 0.159164
0.750376 0.750376 0.110140 0.591641 0.814284 0.693068
0.242607 0.242607 0.009120 0.928870 0.256026 0.230029
0.325253 0.325253 0.072146 0.528615 0.325318 0.325318
0.364139 0.364139 0.044616 0.688244 0.364183 0.364183
0.726950 0.726950 0.137745 0.533095 0.727409 0.727409
0.517838 0.517838 0.032746 0.833238 0.530650 0.505478
0.293556 0.293556 0.014065 0.899474 0.293562 0.293562
0.502144 0.502144 0.188202 0.378611 0.502555 0.502555
0.951115 0.951115 0.058933 0.814084 0.951386 0.951386
0.154040 0.154040 0.106117 0.299088 0.161944 0.146655
0.877638 0.877638 0.038304 0.887117 0.914438 0.842841
0.889561 0.889561 0.013580 0.989887 0.889603 0.889603
0.146074 0.146074 0.157397 0.226543 0.146111 0.146111
0.687177 0.687177 0.131267 0.526304 0.746700 0.634056
0.596576 0.596576 0.127504 0.509881 0.596892 0.596892
0.637762 0.637762 0.115121 0.546778 0.679426 0.599790
0.535176 0.535176 0.007813 0.988405 0.545244 0.525338
0.354689 0.354689 0.071563 0.551803 0.354758 0.354758
0.672147 0.672147 0.130075 0.530957 0.672547 0.672547
0.862581 0.862581 0.101091 0.660679 0.863024 0.863024
0.762557 0.762557 0.175720 0.476889 0.763205 0.763205
0.118726 0.118726 0.036368 0.490784 0.118731 0.118731
0.200443 0.200443 0.170447 0.255653 0.200528 0.200528
0.367951 0.367951 0.150027 0.373782 0.368137 0.368137
0.718273 0.718273 0.133220 0.532030 0.778297 0.664612
0.875463 0.875463 0.197579 0.473115 0.915007 0.840123
0.278771 0.278771 0.051394 0.588980 0.278802 0.278802
0.691470 0.691470 0.005661 0.975623 0.733073 0.652689
0.294331 0.294331 0.019507 0.848333 0.294341 0.294341
0.594125 0.594125 0.152250 0.461952 0.609302 0.580254
0.591004 0.591004 0.049388 0.752682 0.637002 0.549090
0.310668 0.310668 0.027626 0.779063 0.310687 0.310687
0.202353 0.202353 0.066289 0.450037 0.202381 0.202381
0.549693 0.549693 0.016600 0.924340 0.595348 0.508190
0.236898 0.236898 0.134395 0.322129 0.236972 0.236972
0.579417 0.579417 0.161319 0.442778 0.579868 0.579868
0.448306 0.448306 0.196548 0.349017 0.448658 0.448658
0.719495 0.719495 0.127132 0.545870 0.767354 0.676091
0.345085 0.345085 0.117626 0.417579 0.345211 0.345211
0.746745 0.746745 0.179543 0.467034 0.747532 0.747532
0.804703 0.804703 0.178306 0.484532 0.805427 0.805427
0.865295 0.865295 0.163167 0.515697 0.947597 0.792743
0.797720 0.797720 0.007178 0.986491 0.797727 0.797727
0.132998 0.132998 0.138352 0.236254 0.133027 0.133027
0.205024 0.205024 0.075736 0.421117 0.205057 0.205057
0.776153 0.776153 0.103702 0.628806 0.776537 0.776537
0.315296 0.315296 0.131590 0.372515 0.334598 0.297547
0.329325 0.329325 0.038770 0.704106 0.329352 0.329352
0.162614 0.162614 0.009745 0.881495 0.162616 0.162616
0.880664 0.880664 0.057822 0.805371 0.880919 0.880919
0.219916 0.219916 0.144193 0.297521 0.219992 0.219992
0.260312 0.260312 0.004323 0.977107 0.260314 0.260314
0.546337 0.546337 0.041185 0.793817 0.546410 0.546410
0.877330 0.877330 0.010155 0.980399 0.913992 0.842480
0.783049 0.783049 0.060454 0.755217 0.865178 0.710378
0.973437 0.973437 0.132782 0.610218 0.999633 0.949446
0.783372 0.783372 0.061623 0.752110 0.861429 0.713957
0.445825 0.445825 0.116718 0.470815 0.446025 0.446025
0.109474 0.109474 0.041692 0.436361 0.115416 0.103906
0.605083 0.605083 0.096336 0.591026 0.605328 0.605328
0.832354 0.832354 0.084108 0.697532 0.869456 0.797815
0.770590 0.770590 0.171836 0.485251 0.771259 0.771259
0.270200 0.270200 0.034232 0.692452 0.270218 0.270218
0.105527 0.105527 0.067773 0.326480 0.105536 0.105536
0.794839 0.794839 0.054107 0.801569 0.794997 0.794997
0.962049 0.962049 0.138208 0.597486 0.962835 0.962835
0.731744 0.731744 0.044081 0.834057 0.731860 0.731860
0.367820 0.367820 0.162390 0.356382 0.368022 0.368022
0.102218 0.102218 0.103460 0.247849 0.102232 0.102232
0.895629 0.895629 0.189393 0.491478 0.896587 0.896587
0.896453 0.896453 0.153092 0.551408 0.897229 0.897229
0.370369 0.370369 0.056479 0.612632 0.402573 0.341288
0.630624 0.630624 0.044209 0.805649 0.630721 0.630721
0.980584 0.980584 0.137244 0.603725 0.999926 0.963203
0.860584 0.860584 0.033428 0.899394 0.860714 0.860714
0.158568 0.158568 0.078488 0.365330 0.158589 0.158589
0.365270 0.365270 0.123610 0.417022 0.365420 0.365420
0.359141 0.359141 0.082386 0.516229 0.359221 0.359221
0.388467 0.388467 0.192003 0.330217 0.388752 0.388752
0.429773 0.429773 0.139902 0.418343 0.442027 0.418356
0.738686 0.738686 0.199973 0.437163 0.739537 0.739537
0.910128 0.910128 0.044013 0.867556 0.910279 0.910279
0.580704 0.580704 0.072211 0.662023 0.580860 0.580860
0.322564 0.322564 0.147968 0.350485 0.322682 0.322682
0.704626 0.704626 0.199291 0.428794 0.705410 0.705410
0.605556 0.605556 0.063269 0.707371 0.605704 0.605704
0.588304 0.588304 0.027309 0.858722 0.643355 0.538859
0.904103 0.904103 0.076796 0.744408 0.904484 0.904484
0.462129 0.462129 0.174025 0.381326 0.462448 0.462448
0.201737 0.201737 0.116455 0.324607 0.201789 0.201789
0.502328 0.502328 0.055768 0.697708 0.502406 0.502406
0.626901 0.626901 0.037182 0.844705 0.626974 0.626974
0.245787 0.245787 0.082220 0.436878 0.245834 0.245834
0.568647 0.568647 0.023475 0.884018 0.618058 0.523957
0.393446 0.393446 0.136994 0.404185 0.418080 0.370870
0.729268 0.729268 0.087522 0.662167 0.729564 0.729564
0.429755 0.429755 0.111246 0.473929 0.448262 0.412485
0.852737 0.852737 0.073416 0.740924 0.853036 0.853036
0.261771 0.261771 0.061587 0.524705 0.261805 0.261805
0.584944 0.584944 0.103878 0.563048 0.585183 0.585183
0.354489 0.354489 0.153660 0.361884 0.354668 0.354668
0.784846 0.784846 0.157844 0.505327 0.854693 0.722987
0.342724 0.342724 0.174112 0.328840 0.357516 0.329014
0.364168 0.364168 0.037584 0.735497 0.364197 0.364197
0.966165 0.966165 0.053901 0.837732 0.966406 0.966406
0.921893 0.921893 0.099238 0.675907 0.979922 0.868803
0.611357 0.611357 0.147824 0.470072 0.664244 0.564199
0.536943 0.536943 0.038990 0.805628 0.537005 0.537005
0.898121 0.898121 0.085144 0.716855 0.898517 0.898517
0.872211 0.872211 0.162917 0.521918 0.934888 0.816128
0.774336 0.774336 0.147079 0.529576 0.774900 0.774900
0.883130 0.883130 0.173601 0.512206 0.883995 0.883995
0.268080 0.268080 0.076676 0.471771 0.268133 0.268133
0.393010 0.393010 0.195891 0.326909 0.414830 0.373083
0.435644 0.435644 0.178639 0.365112 0.435942 0.435942
0.814342 0.814342 0.041943 0.859251 0.814485 0.814485
0.235954 0.235954 0.148366 0.302753 0.236042 0.236042
0.252948 0.252948 0.132629 0.335432 0.253032 0.253032
0.273431 0.273431 0.145803 0.326798 0.292271 0.256248
0.973716 0.973716 0.112248 0.658581 0.999971 0.949519
0.311328 0.311328 0.024993 0.803814 0.311342 0.311342
0.123718 0.123718 0.079518 0.320812 0.123732 0.123732
0.951454 0.951454 0.156262 0.559620 0.952327 0.952327
0.929552 0.929552 0.102199 0.674285 0.949510 0.911097
0.364578 0.364578 0.036539 0.741935 0.364607 0.364607
0.249646 0.249646 0.170703 0.283712 0.267489 0.233432
0.455881 0.455881 0.191074 0.357394 0.472079 0.440996
0.559603 0.559603 0.196843 0.388005 0.560124 0.560124
0.317788 0.317788 0.172752 0.319422 0.317965 0.317965
0.748278 0.748278 0.056981 0.763575 0.817829 0.685960
0.152540 0.152540 0.014651 0.793927 0.152542 0.152542
0.468702 0.468702 0.152647 0.411624 0.497144 0.442718
0.649605 0.649605 0.090544 0.626363 0.649854 0.649854
0.330323 0.330323 0.108459 0.428632 0.330432 0.330432
0.357105 0.357105 0.145327 0.375571 0.357273 0.357273
0.716017 0.716017 0.169781 0.466303 0.787072 0.653614
0.856828 0.856828 0.153640 0.540115 0.857516 0.857516
0.828238 0.828238 0.146629 0.538842 0.889172 0.773548
0.222611 0.222611 0.128829 0.320569 0.222680 0.222680
0.589723 0.589723 0.076150 0.641417 0.636634 0.547175
0.566359 0.566359 0.132610 0.488435 0.566650 0.566650
0.790170 0.790170 0.032730 0.892141 0.841011 0.743116
0.940465 0.940465 0.192522 0.497997 0.941509 0.941509
0.180733 0.180733 0.069332 0.413867 0.191632 0.170610
0.276194 0.276194 0.198350 0.273281 0.276353 0.276353
0.994774 0.994774 0.047012 0.866741 0.994999 0.994999
0.311662 0.311662 0.117139 0.399366 0.311769 0.311769
0.315088 0.315088 0.081338 0.486590 0.334602 0.297055
0.180460 0.180460 0.057211 0.460124 0.190574 0.171018
0.444154 0.444154 0.191621 0.353094 0.444488 0.444488
0.701704 0.701704 0.154063 0.494683 0.702209 0.702209
0.486252 0.486252 0.197374 0.362309 0.486656 0.486656
0.139561 0.139561 0.041633 0.489967 0.139568 0.139568
0.274857 0.274857 0.027383 0.748256 0.284195 0.265908
0.501994 0.501994 0.181675 0.386740 0.502383 0.502383
0.156316 0.156316 0.013728 0.812533 0.156319 0.156319
0.367811 0.367811 0.015067 0.918341 0.367822 0.367822
0.949268 0.949268 0.108707 0.661819 0.949825 0.949825
0.182606 0.182606 0.171778 0.241686 0.190791 0.174959
0.410668 0.410668 0.074542 0.573740 0.410757 0.410757
0.696477 0.696477 0.111026 0.584193 0.696821 0.696821
0.497542 0.497542 0.191131 0.370044 0.539831 0.459910
0.596339 0.596339 0.147334 0.471489 0.596765 0.596765
0.733341 0.733341 0.163241 0.488372 0.733924 0.733924
0.630461 0.630461 0.020217 0.928012 0.630490 0.630490
0.144939 0.144939 0.185698 0.198626 0.144975 0.144975
0.605613 0.605613 0.121822 0.526483 0.605912 0.605912
0.789723 0.789723 0.119311 0.588556 0.834357 0.748768
0.968524 0.968524 0.049702 0.855236 0.998907 0.939630
0.454059 0.454059 0.089995 0.536875 0.487126 0.423892
0.171602 0.171602 0.082188 0.365011 0.184444 0.159869
0.416267 0.416267 0.052060 0.668849 0.441634 0.392740
0.247272 0.247272 0.174079 0.280633 0.247384 0.247384
0.984850 0.984850 0.037008 0.908330 0.984980 0.984980
0.892565 0.892565 0.003932 0.982698 0.892548 0.892548
0.544657 0.544657 0.190650 0.390446 0.545139 0.545139
0.460863 0.460863 0.136090 0.439306 0.461112 0.461112
0.506162 0.506162 0.097318 0.547267 0.506342 0.506342
0.112079 0.112079 0.007712 0.862716 0.116876 0.107518
0.683626 0.683626 0.156020 0.485493 0.684105 0.684105
0.882432 0.882432 0.018541 0.968331 0.882505 0.882505
0.648132 0.648132 0.126579 0.530397 0.648495 0.648495
0.827194 0.827194 0.002778 0.990612 0.894555 0.765781
0.843860 0.843860 0.187232 0.481611 0.844716 0.844716
0.344515 0.344515 0.085315 0.497792 0.344592 0.344592
0.852829 0.852829 0.050617 0.829116 0.852989 0.852989
0.354287 0.354287 0.037993 0.724760 0.354319 0.354319
0.224478 0.224478 0.082965 0.417212 0.224519 0.224519
0.817046 0.817046 0.091611 0.673850 0.817440 0.817440
0.141222 0.141222 0.061670 0.397251 0.141235 0.141235
0.921338 0.921338 0.046297 0.843963 0.991848 0.857028
0.292434 0.292434 0.055485 0.578524 0.292471 0.292471
0.373274 0.373274 0.163447 0.357511 0.373480 0.373480
0.990157 0.990157 0.022269 0.978929 0.990234 0.990234
0.267293 0.267293 0.125287 0.356117 0.267382 0.267382
0.989852 0.989852 0.055358 0.836197 0.990095 0.990095
0.775076 0.775076 0.136435 0.550649 0.775590 0.775590
0.300147 0.300147 0.135794 0.359642 0.300263 0.300263
0.952509 0.952509 0.145701 0.579502 0.953332 0.953332
0.913886 0.913886 0.120323 0.611454 0.999920 0.837641
0.595117 0.595117 0.190436 0.407309 0.595681 0.595681
0.277307 0.277307 0.028635 0.746585 0.277321 0.277321
0.308830 0.308830 0.161472 0.328175 0.308974 0.308974
0.102129 0.102129 0.072643 0.307974 0.103228 0.101064
0.303450 0.303450 0.037311 0.696920 0.303473 0.303473
0.437809 0.437809 0.051830 0.689500 0.437877 0.437877
0.507469 0.507469 0.125952 0.478149 0.507739 0.507739
0.321471 0.321471 0.006512 0.979713 0.321475 0.321475
0.813435 0.813435 0.188899 0.471499 0.814237 0.814237
0.664661 0.664661 0.092820 0.619802 0.698235 0.633494
0.499140 0.499140 0.038559 0.778998 0.530594 0.469988
0.967119 0.967119 0.116379 0.646403 0.997547 0.938998
0.907360 0.907360 0.124017 0.613582 0.908004 0.908004
0.277124 0.277124 0.136845 0.344319 0.277225 0.277225
0.636356 0.636356 0.020688 0.915231 0.681413 0.594894
0.616039 0.616039 0.149095 0.474690 0.634674 0.598934
0.734454 0.734454 0.056396 0.776926 0.734616 0.734616
0.936336 0.936336 0.150685 0.566232 0.937152 0.937152
0.352861 0.352861 0.076955 0.529451 0.363948 0.342315
0.494591 0.494591 0.171942 0.396718 0.494955 0.494955
0.534924 0.534924 0.188840 0.388744 0.535411 0.535411
0.881641 0.881641 0.140565 0.572036 0.882300 0.882300
0.576666 0.576666 0.126727 0.504629 0.576952 0.576952
0.606037 0.606037 0.121192 0.527258 0.606346 0.606346
0.523950 0.523950 0.040025 0.796444 0.524012 0.524012
0.719958 0.719958 0.077478 0.683060 0.770547 0.673689
0.554346 0.554346 0.051797 0.740960 0.554435 0.554435
0.840858 0.840858 0.014921 0.982772 0.840906 0.840906
0.833953 0.833953 0.109378 0.628568 0.857099 0.812484
0.949998 0.949998 0.159580 0.552998 0.950886 0.950886
0.927627 0.927627 0.164080 0.539528 0.944437 0.912842
0.473348 0.473348 0.024410 0.874113 0.473382 0.473382
0.843231 0.843231 0.120400 0.606378 0.843759 0.843759
0.951634 0.951634 0.105103 0.672890 0.952201 0.952201
0.665241 0.665241 0.092782 0.621361 0.695916 0.636665
0.327043 0.327043 0.094289 0.460429 0.327137 0.327137
0.633116 0.633116 0.126543 0.515784 0.695465 0.577971
0.874363 0.874363 0.185133 0.489007 0.931658 0.823152
0.982845 0.982845 0.081537 0.745022 0.998636 0.968180
0.640734 0.640734 0.011073 0.974180 0.662817 0.619572
0.832572 0.832572 0.157707 0.524740 0.862518 0.805150
0.737781 0.737781 0.057461 0.774679 0.737940 0.737940
0.124781 0.124781 0.090070 0.298753 0.126857 0.122783
0.913840 0.913840 0.060782 0.783011 0.999242 0.837380
0.504914 0.504914 0.105280 0.525450 0.505106 0.505106
0.207032 0.207032 0.124762 0.312879 0.222764 0.192726
0.851770 0.851770 0.155355 0.535998 0.852475 0.852475
0.282023 0.282023 0.137248 0.344854 0.297866 0.267385
0.399034 0.399034 0.050185 0.677452 0.399090 0.399090
0.354730 0.354730 0.009219 0.969370 0.354736 0.354736
0.267654 0.267654 0.135363 0.340742 0.267748 0.267748
0.385399 0.385399 0.008694 0.977752 0.385403 0.385403
0.533052 0.533052 0.023285 0.889524 0.568336 0.500402
0.162568 0.162568 0.120773 0.285297 0.162609 0.162609
0.734484 0.734484 0.038186 0.864940 0.734584 0.734584
0.383209 0.383209 0.133703 0.405938 0.402435 0.365397
0.770754 0.770754 0.183490 0.467455 0.771618 0.771618
0.458392 0.458392 0.083756 0.566990 0.458514 0.458514
0.118526 0.118526 0.074908 0.325697 0.118538 0.118538
0.972919 0.972919 0.190143 0.507841 0.999045 0.949744
0.849198 0.849198 0.146399 0.551961 0.849867 0.849867
0.291105 0.291105 0.119732 0.380950 0.301220 0.281576
0.263642 0.263642 0.031204 0.713409 0.263658 0.263658
0.265064 0.265064 0.031199 0.695487 0.285953 0.246003
0.373818 0.373818 0.011617 0.948351 0.373829 0.373829
0.572281 0.572281 0.173235 0.421502 0.596250 0.550328
0.488751 0.488751 0.120223 0.482503 0.488954 0.488954
0.362106 0.362106 0.141615 0.382152 0.378606 0.346769
0.455455 0.455455 0.023011 0.874854 0.480399 0.432088
0.821842 0.821842 0.121813 0.583080 0.903022 0.750199
0.328979 0.328979 0.026678 0.798612 0.328998 0.328998
0.151196 0.151196 0.048118 0.470185 0.151208 0.151208
0.879984 0.879984 0.065428 0.773235 0.895485 0.865335
0.298926 0.298926 0.171827 0.310460 0.310345 0.288303
0.464491 0.464491 0.133218 0.445627 0.464742 0.464742
0.384487 0.384487 0.108232 0.459381 0.384630 0.384630
0.168996 0.168996 0.005803 0.930970 0.181342 0.157648
0.858902 0.858902 0.146750 0.553678 0.859565 0.859565
0.964474 0.964474 0.166968 0.543642 0.965429 0.965429
0.510959 0.510959 0.020959 0.907696 0.510983 0.510983
