# injm1  injm2  injecc  pol  inc  maxmatch  maxm1  maxm2
1.000000 1.000000 0.005000 6.004567 -0.399890 0.973546 0.999969 0.999969
1.000000 1.000000 0.009000 2.582017 -0.790079 0.961643 0.999969 0.999969
1.000000 1.000000 0.000000 1.635511 -0.157157 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 0.582475 -1.449651 0.977915 0.999969 0.999969
1.000000 1.000000 0.027000 3.976582 0.879962 0.827367 0.999969 0.999969
1.000000 1.000000 0.005000 1.454476 -0.131774 0.973546 0.999969 0.999969
1.000000 1.000000 0.000000 1.743110 -0.602087 0.977915 0.999969 0.999969
1.000000 1.000000 0.004000 5.982728 0.717877 0.975191 0.999969 0.999969
1.000000 1.000000 0.000000 0.899585 0.319230 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 1.211367 1.396427 0.977752 0.999969 0.999969
1.000000 1.000000 0.002000 3.656153 -0.112789 0.977259 0.999969 0.999969
1.000000 1.000000 0.001000 5.932581 -0.361996 0.977752 0.999969 0.999969
1.000000 1.000000 0.001000 4.415979 1.130056 0.977752 0.999969 0.999969
1.000000 1.000000 0.001000 5.154737 0.147307 0.977752 0.999969 0.999969
1.000000 1.000000 0.001000 0.766862 0.935877 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 4.954511 -0.290010 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 1.805192 -1.396859 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 4.252562 -0.782497 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 0.273127 -1.425982 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 4.599254 -0.394144 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 3.761482 1.415961 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 0.838120 -1.209342 0.977915 0.999969 0.999969
1.000000 1.000000 0.008000 1.511669 0.342643 0.965538 0.999969 0.999969
1.000000 1.000000 0.000000 4.678714 1.051938 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 2.265094 -1.241570 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 1.768386 1.536275 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 0.485625 0.155649 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 1.564784 0.891686 0.977915 0.999969 0.999969
1.000000 1.000000 0.028000 4.763131 0.423593 0.822177 0.999969 0.999969
1.000000 1.000000 0.002000 4.578775 -1.214262 0.977259 0.999969 0.999969
1.000000 1.000000 0.004000 2.208337 1.490633 0.975191 0.999969 0.999969
1.000000 1.000000 0.004000 1.789836 -1.515849 0.975191 0.999969 0.999969
1.000000 1.000000 0.000000 1.878524 1.230164 0.977915 0.999969 0.999969
1.000000 1.000000 0.002000 5.820335 -0.625289 0.977259 0.999969 0.999969
1.000000 1.000000 0.001000 5.602110 -0.794629 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 1.605190 -0.016959 0.977915 0.999969 0.999969
1.000000 1.000000 0.716000 2.490214 -0.854252 0.115095 0.999969 0.999969
1.000000 1.000000 0.000000 2.157041 0.552077 0.977915 0.999969 0.999969
1.000000 1.000000 0.040000 4.046495 -1.430329 0.740650 0.999969 0.999969
1.000000 1.000000 0.000000 1.324311 1.015081 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 3.885659 -1.488744 0.977752 0.999969 0.999969
1.000000 1.000000 0.001000 2.858066 1.089072 0.977752 0.999969 0.999969
1.000000 1.000000 0.001000 2.212780 0.192157 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 1.161614 -0.250753 0.977915 0.999969 0.999969
1.000000 1.000000 0.085000 3.256466 -0.429646 0.525419 0.999969 0.999969
1.000000 1.000000 0.001000 3.040182 -1.278288 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 1.523815 1.481751 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 4.232992 1.521134 0.977915 0.999969 0.999969
1.000000 1.000000 0.005000 1.233957 -0.523351 0.973546 0.999969 0.999969
1.000000 1.000000 0.001000 2.582773 -1.296379 0.977752 0.999969 0.999969
1.000000 1.000000 0.001000 1.952705 -0.846731 0.977752 0.999969 0.999969
1.000000 1.000000 0.001000 3.116839 -0.423783 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 0.475147 -0.153291 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 5.446988 1.332146 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 0.528774 -1.074831 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 2.030617 -0.625575 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 4.183028 -0.983489 0.977915 0.999969 0.999969
1.000000 1.000000 0.070000 5.512407 1.019351 0.582111 0.999969 0.999969
1.000000 1.000000 0.000000 3.138773 -1.001069 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 5.316109 -1.464753 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 2.584915 -0.034220 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 0.302389 0.169461 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 3.302898 -0.325947 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 3.742218 -0.379823 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 2.826547 0.210795 0.977915 0.999969 0.999969
